current,all_time,app_id,24_peak,title
"8,638,886","14,370,167",753,"12,044,516",Steam
"288,518","854,801",730,"585,271",Counter-Strike: Global Offensive
"77,707","144,719",578080,"121,663",PLAYERUNKNOWN'S BATTLEGROUNDS
"33,579","103,129",252950,"48,745",Rocket League
"33,570","101,035",346110,"48,430",ARK: Survival Evolved
"33,191","70,420",482730,"57,014",Football Manager 2017
"30,436","138,218",433850,"110,698",H1Z1: King of the Kill
"26,482","364,548",271590,"58,176",Grand Theft Auto V
"24,645","73,863",4000,"38,042",Garry's Mod
"24,089","88,203",8930,"29,779",Sid Meier's Civilization V
"20,699","60,743",444090,"32,309",Paladins
"20,609","69,525",230410,"32,702",Warframe
"19,891","56,679",107410,"35,729",Arma 3
"18,359","68,216",252490,"27,801",Rust
"17,525","65,382",359550,"29,560",Tom Clancy's Rainbow Six Siege
"17,304","472,962",377160,"21,052",Fallout 4
"16,382","159,175",105600,"18,611",Terraria
"14,752","90,870",72850,"20,722",The Elder Scrolls V: Skyrim
"13,790","162,657",289070,"17,376",Sid Meier's Civilization VI
"12,926","65,582",238960,"17,338",Path of Exile
"12,389","68,602",281990,"15,820",Stellaris
"11,929","63,462",304930,"22,978",Unturned
"11,095","24,858",236850,"15,999",Europa Universalis IV
"10,932","20,261",427520,"15,376",Factorio
"10,479","129,975",374320,"14,661",DARK SOULS III
"10,384","23,596",386360,"12,625",SMITE
"10,259","44,586",10,"20,452",Counter-Strike
"9,578","29,996",306130,"13,281",The Elder Scrolls Online: Tamriel Unlimited
"9,571","69,906",489830,"11,609",The Elder Scrolls V: Skyrim Special Edition
"9,130","65,882",363970,"11,653",Clicker Heroes
"9,118","42,656",588430,"13,858",Fallout Shelter
"8,620","82,916",378120,"13,686",Football Manager 2016
"8,208","35,313",236390,"13,973",War Thunder
"8,193","113,019",364360,"11,600",Total War: WARHAMMER
"8,182","92,267",292030,"13,046",The Witcher 3: Wild Hunt
"7,773","41,042",394360,"10,279",Hearts of Iron IV
"7,480","33,215",227300,"20,492",Euro Truck Simulator 2
"7,376","12,510",39210,"8,063",FINAL FANTASY XIV: A Realm Reborn
"7,273","24,755",251570,"9,397",7 Days to Die
"7,026","64,362",413150,"8,634",Stardew Valley
"6,897","25,676",285190,"11,636","Warhammer 40,000: Dawn of War III"
"6,354","19,216",221380,"8,653",Age of Empires II: HD Edition
"5,856","12,834",291550,"7,158",Brawlhalla
"5,688","32,828",48700,"8,646",Mount & Blade: Warband
"5,509","70,232",250900,"7,264",The Binding of Isaac: Rebirth
"5,443","60,386",255710,"8,030",Cities: Skylines
"5,416","67,769",49520,"6,943",Borderlands 2
"5,346","18,092",359320,"7,398",Elite Dangerous
"5,288","162,163",550,"10,387",Left 4 Dead 2
"5,214","81,224",218620,"10,654",PAYDAY 2
"4,999","15,063",294100,"5,886",RimWorld
"4,976","38,684",214950,"7,416",Total War: ROME II - Emperor Edition
"4,661","45,704",460930,"7,641",Tom Clancy's Ghost Recon Wildlands
"4,532","20,474",431960,"9,402",Wallpaper Engine
"4,522","43,033",381210,"11,150",Dead by Daylight
"4,473","11,826",506540,"10,162",Last Man Standing
"4,205","14,586",316010,"4,782",Magic Duels
"4,164","20,858",322330,"8,569",Don't Starve Together
"4,123","11,960",203770,"5,006",Crusader Kings II
"3,951","14,905",385760,"7,791",NBA 2K17
"3,805","32,313",447020,"7,353",Farming Simulator 17
"3,754","17,662",453480,"9,028",Shadowverse
"3,738","35,767",240,"8,315",Counter-Strike: Source
"3,702","19,149",220200,"4,365",Kerbal Space Program
"3,670","23,908",524220,"7,854",NieR:Automata
"3,511","53,554",372000,"4,379",Tree of Savior (English Ver.)
"3,501","58,949",304050,"5,437",Trove
"3,486","30,309",22380,"3,795",Fallout: New Vegas
"3,417","23,888",244850,"4,731",Space Engineers
"3,333","81,933",295270,"5,536",Football Manager 2015
"3,277","21,026",227940,"7,214",Heroes & Generals
"3,272","9,641",322170,"3,492",Geometry Dash
"3,248","22,998",346900,"3,981",AdVenture Capitalist
"3,195","40,335",295110,"5,488",H1Z1: Just Survive
"3,164","8,798",264710,"3,997",Subnautica
"3,098","88,481",211820,"3,405",Starbound
"3,086","133,022",268500,"4,078",XCOM 2
"2,981","11,259",211420,"3,849",Dark Souls: Prepare to Die Edition
"2,980","16,645",231430,"5,559",Company of Heroes 2
"2,969","5,625",4700,"3,909",Medieval II: Total War
"2,960","14,437",555570,"5,813",Infestation: The New Z
"2,828","25,260",323370,"3,530",TERA
"2,779","45,528",221100,"4,640",DayZ
"2,736","8,921",10500,"3,939",Empire: Total War
"2,715","26,346",325610,"4,082",Total War: ATTILA
"2,609","63,681",311210,"5,258",Call of Duty: Black Ops III
"2,602","5,821",314160,"3,501",Microsoft Flight Simulator X: Steam Edition
"2,591","45,944",304390,"3,281",For Honor
"2,546","6,703",8500,"3,197",EVE Online
"2,544","9,613",109600,"3,652",Neverwinter
"2,536","13,815",291480,"4,016",Warface
"2,511","6,266",456610,"4,291",Pro Evolution Soccer 2017
"2,482","53,311",440900,"3,660",Conan Exiles
"2,482","3,591",268850,"2,646",EVGA Precision XOC
"2,426","5,690",564710,"2,706",Soda Dungeon
"2,375","10,007",273110,"3,528",Counter-Strike Nexon: Zombies
"2,374","8,178",47890,"2,603",The Sims(TM) 3
"2,368","11,577",393380,"3,446",Squad
"2,245","26,725",301520,"4,145",Robocraft
"2,243","9,546",34330,"2,934",Total War: SHOGUN 2
"2,090","19,153",270880,"2,431",American Truck Simulator
"2,079","4,438",280790,"2,774",Creativerse
"2,034","18,314",242760,"3,858",The Forest
"2,022","24,594",389430,"2,335",Knight Online
"2,012","12,106",335300,"2,652",DARK SOULS II: Scholar of the First Sin
"2,007","4,915",286160,"2,850",Tabletop Simulator
"1,995","91,195",287700,"2,453",METAL GEAR SOLID V: THE PHANTOM PAIN
"1,971","12,949",444200,"6,593",World of Tanks Blitz
"1,952","15,250",219990,"2,927",Grim Dawn
"1,884","4,068",402840,"2,250",Crusaders of the Lost Idols
"1,873","24,250",232090,"2,671",Killing Floor 2
"1,860","8,335",218230,"2,570",PlanetSide 2
"1,856","7,148",326460,"6,786",ShellShock Live
"1,788","114,228",365590,"4,005",Tom Clancy's The Division
