rank,title
0,PLAYERUNKNOWN'S BATTLEGROUNDS
1,Prey
2,The Elder Scrolls V: Skyrim Special Edition
3,"Warhammer 40,000: Dawn of War III"
4,Kerbal Space Program
5,Rocket League
6,Rising Storm 2: Vietnam - Digital Deluxe
7,Sleeping Dogs: Definitive Edition
8,Grand Theft Auto V
9,Warhammer: End Times - Vermintide
10,Outlast 2
11,Counter-Strike: Global Offensive
12,NieR:Automata
13,Little Nightmares
14,Sid Meiers Civilization VI
15,Tom Clancy's Ghost Recon Wildlands
16,Tabletop Simulator
17,Jalopy
18,Factorio
19,Stellaris: Utopia
20,ARK: Survival Evolved
21,Stellaris
22,Portal Knights
23,Fallout 4
24,Ultimate Epic Battle Simulator
25,H1Z1: King of the Kill
26,Rust
27,The Witcher 3: Wild Hunt - Game of the Year Edition
28,Garry's Mod
29,RimWorld
30,Stardew Valley
31,Friday the 13th: The Game
32,Lovers in a Dangerous Spacetime
33,Halo Wars: Definitive Edition
34,BlazBlue Centralfiction
35,Total War: WARHAMMER
36,Terraria
37,Golf With Your Friends
38,Blackwake
39,Rick and Morty: Virtual Rick-ality
40,Dead Island Definitive Edition
41,Tom Clancy's Rainbow Six Siege
42,DRAGON QUEST HEROES II
43,Planet Coaster
44,Divinity: Original Sin 2
45,NBA 2K17
46,Call of Duty: WWII
47,Fallout 4 Season Pass
48,The Forest
49,Immortal Redneck
50,7 Days to Die
51,Sid Meier's Civilization V: Complete
52,FINAL FANTASY XIV: Stormblood
53,Call of Duty: World at War
54,Night in the Woods
55,Subnautica
56,Don't Starve Together
57,Hearts of Iron IV
58,DARK SOULS III Deluxe Edition
59,DARK SOULS III - Season Pass
60,Expeditions: Viking
61,Battle Brothers
62,Gang Beasts
63,Cities: Skylines
64,Sniper Elite 4
65,The Elder Scrolls Online: Tamriel Unlimited
66,The Elder Scrolls V: Skyrim + Add-Ons
67,Murdered: Soul Suspect
68,Squad
69,ARK: Scorched Earth - Expansion Pack
70,20XX
71,Steel Division: Normandy 44
72,Bayonetta
73,Arma 3
74,BeamNG.drive
75,My Summer Car
76,Undertale
77,ShellShock Live
78,FINAL FANTASY XIV: Stormblood
79,TEKKEN 7
80,TEKKEN 7
81,Starbound
82,Another Brick in the Mall
83,The Elder Scrolls Online: Gold Edition
84,Hollow Knight
85,DARK SOULS II: Scholar of the First Sin
86,Wallpaper Engine
87,Forts
88,Elite Dangerous: Commander Deluxe Edition
89,Yooka-Laylee
90,What Remains of Edith Finch
91,Dead Island Definitive Collection
92,Age of Empires II HD
93,Borderlands 2 Game of the Year
94,Left 4 Dead 2
95,Arma 3 Apex
96,DARK SOULS III
97,The Surge
98,Farming Simulator 17
99,The Witcher 3: Wild Hunt
100,DARK SOULS: Prepare To Die Edition
101,X-Plane 11
102,Sid Meier's Civilization V
103,Divinity: Original Sin - Enhanced Edition
104,DayZ
105,Hearthlands
106,Call of Duty: Black Ops III
107,Warhammer: End Times - Vermintide Karak Azgaraz
108,Conan Exiles
109,Tom Clancy's Rainbow Six Siege - Year 2 Pass
110,Call of Duty: Modern Warfare 2
111,The Sims 3
112,Golf It!
113,Elite Dangerous
